User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,Recency,Frequency,Monthly_Spend,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
18,Emma Williams,59,Canada,Premium,813.46,Documentary,2024-08-08,205,407,22.99,275.88,3,5,4,354,12,Potential Loyalists
19,Alex Johnson,63,Brazil,Premium,963.64,Action,2024-08-08,205,482,22.99,275.88,3,5,4,354,12,Potential Loyalists
20,John Jones,67,Canada,Standard,460.6,Comedy,2024-12-07,84,231,15.49,185.88,4,3,2,432,9,Loyal Customers
21,Michael Williams,47,France,Standard,637.43,Horror,2025-01-21,39,319,15.49,185.88,5,4,2,542,11,Loyal Customers
22,James Martinez,46,UK,Premium,620.74,Comedy,2024-04-19,316,311,22.99,275.88,1,4,4,144,9,At Risk
23,Sarah Davis,40,UK,Basic,451.59,Drama,2024-04-08,327,226,9.99,119.88,1,3,1,131,5,Lost
24,John Smith,46,UK,Basic,388.91,Horror,2024-10-16,136,195,9.99,119.88,4,2,1,421,7,New Customers
25,Alex Brown,37,Canada,Basic,418.2,Horror,2024-05-26,279,210,9.99,119.88,2,3,1,231,6,Lost
26,Chris Johnson,26,Brazil,Premium,95.46,Sci-Fi,2024-08-23,190,48,22.99,275.88,3,1,4,314,8,Lost
27,James Jones,17,Mexico,Standard,253.6,Documentary,2024-09-29,153,127,15.49,185.88,3,2,2,322,7,Needs Attention
28,Michael Johnson,37,France,Premium,936.05,Comedy,2025-01-07,53,469,22.99,275.88,5,5,4,554,14,Champions
29,Michael Johnson,59,Mexico,Basic,971.97,Drama,2024-11-03,118,486,9.99,119.88,4,5,1,451,10,Loyal Customers
30,Sarah Smith,67,Australia,Basic,542.57,Action,2025-02-11,18,272,9.99,119.88,5,3,1,531,9,Loyal Customers
31,Chris Jones,14,Germany,Premium,81.89,Drama,2024-08-06,207,41,22.99,275.88,3,1,4,314,8,Lost
32,John Williams,27,Canada,Standard,568.86,Sci-Fi,2025-02-01,28,285,15.49,185.88,5,3,2,532,10,Loyal Customers
33,Jane Brown,59,UK,Standard,67.28,Sci-Fi,2024-07-21,223,34,15.49,185.88,2,1,2,212,5,Hibernating
34,David Davis,56,Mexico,Basic,835.85,Documentary,2024-07-11,233,418,9.99,119.88,2,5,1,251,8,Lost
35,Emma Hernandez,52,India,Basic,91.07,Sci-Fi,2024-12-04,87,46,9.99,119.88,4,1,1,411,6,New Customers
36,Michael Jones,26,UK,Basic,703.81,Comedy,2024-06-06,268,352,9.99,119.88,2,4,1,241,7,Lost
37,Sarah Williams,64,Germany,Basic,693.84,Documentary,2024-06-28,246,347,9.99,119.88,2,4,1,241,7,Lost
38,David Martinez,80,Brazil,Premium,431.61,Drama,2024-08-08,205,216,22.99,275.88,3,3,4,334,10,Potential Loyalists
39,Emma Smith,70,USA,Standard,13.5,Comedy,2024-10-27,125,7,15.49,185.88,4,1,2,412,7,New Customers
40,Sarah Hernandez,15,Brazil,Premium,914.7,Horror,2024-04-30,305,458,22.99,275.88,1,5,4,154,10,At Risk
41,John Jones,23,Germany,Standard,404.84,Romance,2024-10-29,123,203,15.49,185.88,4,3,2,432,9,Loyal Customers
42,James Williams,40,Canada,Premium,610.93,Romance,2024-10-02,150,306,22.99,275.88,3,4,4,344,11,Potential Loyalists
43,David Brown,35,Canada,Premium,834.96,Documentary,2024-06-08,266,418,22.99,275.88,2,5,4,254,11,At Risk
44,Chris Garcia,68,Japan,Basic,145.66,Documentary,2024-04-12,323,73,9.99,119.88,1,1,1,111,3,Lost
45,Chris Jones,50,USA,Basic,370.08,Action,2024-03-30,336,186,9.99,119.88,1,2,1,121,4,Lost
46,John Johnson,45,India,Standard,474.83,Drama,2024-11-01,120,238,15.49,185.88,4,3,2,432,9,Loyal Customers
47,Sarah Smith,16,Brazil,Premium,321.21,Documentary,2024-04-13,322,161,22.99,275.88,1,2,4,124,7,Lost
48,Sarah Garcia,40,Australia,Basic,197.08,Comedy,2024-10-19,133,99,9.99,119.88,4,1,1,411,6,New Customers
49,Michael Brown,57,Australia,Premium,420.58,Sci-Fi,2024-09-18,164,211,22.99,275.88,3,3,4,334,10,Potential Loyalists
50,David Hernandez,72,Brazil,Basic,479.4,Action,2024-07-13,231,240,9.99,119.88,2,3,1,231,6,Lost
51,Sarah Jones,53,Germany,Standard,12.4,Horror,2025-02-09,20,7,15.49,185.88,5,1,2,512,8,New Customers
52,Alex Jones,55,Japan,Basic,157.64,Action,2024-12-28,63,79,9.99,119.88,5,1,1,511,7,New Customers
53,John Smith,65,Canada,Standard,589.28,Comedy,2025-02-21,8,295,15.49,185.88,5,3,2,532,10,Loyal Customers
54,Chris Martinez,27,France,Standard,367.56,Romance,2025-02-27,2,184,15.49,185.88,5,2,2,522,9,New Customers
55,David Hernandez,72,USA,Premium,889.42,Horror,2024-12-11,80,445,22.99,275.88,4,5,4,454,13,Champions
56,Alex Davis,16,Mexico,Premium,739.71,Sci-Fi,2024-08-11,202,370,22.99,275.88,3,4,4,344,11,Potential Loyalists
57,Jane Garcia,55,Japan,Basic,672.43,Documentary,2024-12-01,90,337,9.99,119.88,4,4,1,441,9,Loyal Customers
58,David Martinez,29,USA,Premium,625.92,Horror,2024-05-02,303,313,22.99,275.88,1,4,4,144,9,At Risk
59,Michael Martinez,41,Japan,Premium,611.38,Drama,2024-09-29,153,306,22.99,275.88,3,4,4,344,11,Potential Loyalists
60,Chris Smith,49,Australia,Premium,997.8,Comedy,2024-08-14,199,499,22.99,275.88,3,5,4,354,12,Potential Loyalists
61,Alex Hernandez,70,Canada,Standard,17.03,Horror,2024-07-11,233,9,15.49,185.88,2,1,2,212,5,Hibernating
62,James Hernandez,70,India,Standard,251.57,Drama,2024-05-07,298,126,15.49,185.88,1,2,2,122,5,Lost
63,Katie Hernandez,68,France,Basic,247.53,Romance,2025-02-15,14,124,9.99,119.88,5,2,1,521,8,New Customers
64,David Hernandez,55,France,Basic,637.46,Action,2024-10-28,124,319,9.99,119.88,4,4,1,441,9,Loyal Customers
65,Katie Martinez,28,USA,Premium,331.5,Comedy,2025-01-10,50,166,22.99,275.88,5,2,4,524,11,New Customers
66,David Smith,40,France,Premium,539.51,Romance,2024-05-15,290,270,22.99,275.88,1,3,4,134,8,At Risk
67,James Davis,27,Canada,Premium,347.83,Romance,2024-07-25,219,174,22.99,275.88,2,2,4,224,8,Hibernating
68,John Miller,33,Brazil,Basic,772.69,Action,2025-01-11,49,387,9.99,119.88,5,4,1,541,10,Loyal Customers
69,David Smith,66,Brazil,Premium,531.37,Sci-Fi,2024-08-22,191,266,22.99,275.88,3,3,4,334,10,Potential Loyalists
70,Chris Davis,27,Germany,Standard,868.11,Action,2024-11-11,110,435,15.49,185.88,4,5,2,452,11,Loyal Customers
71,John Williams,52,Canada,Basic,482.75,Action,2024-10-03,149,242,9.99,119.88,3,3,1,331,7,Promising
72,David Garcia,45,Germany,Basic,111.95,Comedy,2024-10-31,121,56,9.99,119.88,4,1,1,411,6,New Customers
73,Alex Williams,29,UK,Standard,915.15,Drama,2025-02-12,17,458,15.49,185.88,5,5,2,552,12,Loyal Customers
74,Emma Brown,58,USA,Standard,255.7,Sci-Fi,2024-12-08,83,128,15.49,185.88,4,2,2,422,8,New Customers
75,Michael Davis,52,Germany,Premium,351.09,Sci-Fi,2024-11-09,112,176,22.99,275.88,4,2,4,424,10,New Customers
76,Emma Garcia,51,India,Basic,890.7,Sci-Fi,2024-05-18,287,446,9.99,119.88,1,5,1,151,7,Lost
77,Jane Martinez,46,Brazil,Basic,452.21,Romance,2024-08-21,192,227,9.99,119.88,3,3,1,331,7,Promising
78,David Hernandez,60,India,Standard,703.49,Comedy,2024-06-06,268,352,15.49,185.88,2,4,2,242,8,Lost
79,James Davis,27,Australia,Premium,114.84,Romance,2024-12-21,70,58,22.99,275.88,4,1,4,414,9,New Customers
80,James Williams,75,India,Premium,735.79,Documentary,2024-10-16,136,368,22.99,275.88,4,4,4,444,12,Champions
81,John Brown,70,USA,Premium,486.56,Horror,2024-05-15,290,244,22.99,275.88,1,3,4,134,8,At Risk
82,Sarah Garcia,78,France,Premium,443.05,Drama,2024-11-20,101,222,22.99,275.88,4,3,4,434,11,Loyal Customers
83,Jane Davis,74,Australia,Premium,609.74,Documentary,2024-08-16,197,305,22.99,275.88,3,4,4,344,11,Potential Loyalists
84,Michael Smith,70,France,Premium,101.32,Romance,2024-07-19,225,51,22.99,275.88,2,1,4,214,7,Hibernating
85,David Martinez,59,Germany,Basic,452.51,Action,2024-11-16,105,227,9.99,119.88,4,3,1,431,8,Loyal Customers
86,Emma Johnson,73,Brazil,Basic,726.72,Documentary,2024-04-08,327,364,9.99,119.88,1,4,1,141,6,Lost
87,James Davis,76,Japan,Standard,164.45,Drama,2024-05-11,294,83,15.49,185.88,1,1,2,112,4,Lost
88,Emma Smith,78,France,Basic,924.9,Comedy,2024-03-23,343,463,9.99,119.88,1,5,1,151,7,Lost
89,Katie Williams,71,USA,Basic,740.04,Comedy,2024-12-14,77,371,9.99,119.88,4,4,1,441,9,Loyal Customers
90,David Martinez,73,UK,Premium,598.3,Comedy,2024-12-23,68,300,22.99,275.88,4,3,4,434,11,Loyal Customers
91,Katie Jones,61,Japan,Standard,523.21,Romance,2024-04-28,307,262,15.49,185.88,1,3,2,132,6,Lost
92,Michael Martinez,70,Australia,Basic,858.29,Drama,2024-11-09,112,430,9.99,119.88,4,5,1,451,10,Loyal Customers
93,Sarah Davis,49,Japan,Standard,635.38,Documentary,2024-04-10,325,318,15.49,185.88,1,4,2,142,7,Lost
94,Michael Brown,40,Brazil,Standard,402.75,Documentary,2024-09-20,162,202,15.49,185.88,3,2,2,322,7,Needs Attention
95,Emma Garcia,33,France,Basic,435.56,Comedy,2025-03-05,-4,218,9.99,119.88,5,3,1,531,9,Loyal Customers
96,James Smith,37,France,Standard,164.11,Romance,2024-05-16,289,83,15.49,185.88,1,1,2,112,4,Lost
97,Jane Miller,49,USA,Premium,413.2,Sci-Fi,2024-07-22,222,207,22.99,275.88,2,3,4,234,9,At Risk
98,James Jones,32,Canada,Premium,626.92,Horror,2024-04-26,309,314,22.99,275.88,1,4,4,144,9,At Risk
99,Michael Brown,57,Australia,Basic,731.09,Romance,2024-10-23,129,366,9.99,119.88,4,4,1,441,9,Loyal Customers
100,David Jones,31,Japan,Basic,122.87,Romance,2024-07-04,240,62,9.99,119.88,2,1,1,211,4,Hibernating
101,John Johnson,18,France,Standard,540.53,Action,2024-09-07,175,271,15.49,185.88,3,3,2,332,8,Promising
102,Emma Johnson,55,Australia,Premium,503.97,Horror,2025-03-08,-7,252,22.99,275.88,5,3,4,534,12,Loyal Customers
103,Sarah Hernandez,70,Japan,Standard,225.38,Action,2024-12-12,79,113,15.49,185.88,4,2,2,422,8,New Customers
104,James Garcia,79,USA,Basic,135.98,Drama,2024-03-14,352,68,9.99,119.88,1,1,1,111,3,Lost
105,Katie Hernandez,39,USA,Basic,709.87,Horror,2024-12-13,78,355,9.99,119.88,4,4,1,441,9,Loyal Customers
106,Alex Hernandez,67,Japan,Standard,488.31,Comedy,2025-01-28,32,245,15.49,185.88,5,3,2,532,10,Loyal Customers
107,Katie Jones,77,UK,Premium,690.18,Drama,2024-11-18,103,346,22.99,275.88,4,4,4,444,12,Champions
108,James Smith,57,Canada,Basic,808.07,Action,2024-09-04,178,405,9.99,119.88,3,5,1,351,9,Promising
109,Sarah Martinez,17,Australia,Standard,978.84,Comedy,2025-02-27,2,490,15.49,185.88,5,5,2,552,12,Loyal Customers
110,Sarah Brown,53,Australia,Premium,81.11,Horror,2024-03-09,357,41,22.99,275.88,1,1,4,114,6,Lost
111,James Martinez,37,Australia,Basic,271.58,Romance,2024-05-29,276,136,9.99,119.88,2,2,1,221,5,Hibernating
112,Sarah Garcia,43,Canada,Premium,229.82,Comedy,2024-11-23,98,115,22.99,275.88,4,2,4,424,10,New Customers
113,John Martinez,34,France,Basic,748.26,Documentary,2024-08-12,201,375,9.99,119.88,3,4,1,341,8,Promising
114,Chris Miller,70,France,Premium,356.57,Documentary,2024-03-23,343,179,22.99,275.88,1,2,4,124,7,Lost
115,John Johnson,23,Canada,Premium,87.79,Documentary,2024-09-03,179,44,22.99,275.88,3,1,4,314,8,Lost
116,Katie Miller,37,Mexico,Standard,627.39,Comedy,2024-08-31,182,314,15.49,185.88,3,4,2,342,9,Promising
117,Sarah Jones,33,France,Basic,13.55,Romance,2024-05-12,293,7,9.99,119.88,1,1,1,111,3,Lost
118,Sarah Miller,15,UK,Premium,336.13,Drama,2024-05-12,293,169,22.99,275.88,1,2,4,124,7,Lost
119,Jane Davis,50,UK,Basic,251.13,Horror,2024-10-17,135,126,9.99,119.88,4,2,1,421,7,New Customers
120,John Miller,55,Canada,Standard,175.47,Drama,2024-12-04,87,88,15.49,185.88,4,1,2,412,7,New Customers
121,Sarah Williams,44,Canada,Premium,98.9,Action,2025-01-08,52,50,22.99,275.88,5,1,4,514,10,New Customers
122,Katie Davis,44,Canada,Standard,988.14,Drama,2025-01-29,31,495,15.49,185.88,5,5,2,552,12,Loyal Customers
123,Katie Davis,80,UK,Standard,816.36,Documentary,2024-09-07,175,409,15.49,185.88,3,5,2,352,10,Promising
124,Emma Miller,58,Brazil,Basic,732.09,Romance,2025-02-01,28,367,9.99,119.88,5,4,1,541,10,Loyal Customers
125,James Davis,20,Australia,Basic,202.57,Action,2024-09-18,164,102,9.99,119.88,3,1,1,311,5,Lost
126,Jane Williams,68,Germany,Standard,758.62,Romance,2024-03-17,349,380,15.49,185.88,1,4,2,142,7,Lost
127,James Smith,61,Japan,Premium,10.31,Romance,2024-07-24,220,6,22.99,275.88,2,1,4,214,7,Hibernating
128,John Martinez,70,Brazil,Standard,633.29,Romance,2025-03-05,-4,317,15.49,185.88,5,4,2,542,11,Loyal Customers
129,John Miller,63,Germany,Premium,278.69,Documentary,2024-12-25,66,140,22.99,275.88,4,2,4,424,10,New Customers
130,Sarah Jones,77,India,Basic,147.04,Horror,2024-07-31,213,74,9.99,119.88,2,1,1,211,4,Hibernating
131,Sarah Jones,79,Mexico,Premium,884.66,Documentary,2025-02-23,6,443,22.99,275.88,5,5,4,554,14,Champions
132,Emma Jones,44,UK,Premium,485.81,Sci-Fi,2024-07-04,240,243,22.99,275.88,2,3,4,234,9,At Risk
133,James Martinez,36,USA,Standard,479.08,Comedy,2024-05-10,295,240,15.49,185.88,1,3,2,132,6,Lost
134,Katie Williams,37,Germany,Basic,744.34,Drama,2025-02-12,17,373,9.99,119.88,5,4,1,541,10,Loyal Customers
135,James Davis,70,Mexico,Basic,17.94,Documentary,2024-10-21,131,9,9.99,119.88,4,1,1,411,6,New Customers
136,Jane Garcia,78,Canada,Standard,457.57,Comedy,2025-03-04,-3,229,15.49,185.88,5,3,2,532,10,Loyal Customers
137,Emma Jones,37,Australia,Premium,325.1,Action,2025-02-10,19,163,22.99,275.88,5,2,4,524,11,New Customers
138,James Martinez,46,Mexico,Standard,18.62,Comedy,2024-09-08,174,10,15.49,185.88,3,1,2,312,6,Lost
139,Sarah Williams,38,UK,Standard,80.87,Romance,2024-11-27,94,41,15.49,185.88,4,1,2,412,7,New Customers
140,Chris Johnson,67,Brazil,Standard,164.13,Comedy,2024-10-30,122,83,15.49,185.88,4,1,2,412,7,New Customers
141,David Brown,62,Mexico,Premium,640.75,Horror,2024-06-20,254,321,22.99,275.88,2,4,4,244,10,At Risk
142,Jane Williams,53,USA,Standard,793.72,Romance,2024-08-25,188,397,15.49,185.88,3,4,2,342,9,Promising
143,Katie Williams,54,Germany,Standard,517.41,Action,2024-04-19,316,259,15.49,185.88,1,3,2,132,6,Lost
144,Alex Davis,38,France,Basic,999.14,Comedy,2024-06-11,263,500,9.99,119.88,2,5,1,251,8,Lost
145,Jane Miller,80,Germany,Standard,766.11,Romance,2024-11-15,106,384,15.49,185.88,4,4,2,442,10,Loyal Customers
146,Sarah Garcia,76,Germany,Basic,689.16,Action,2025-02-23,6,345,9.99,119.88,5,4,1,541,10,Loyal Customers
147,Chris Brown,14,Brazil,Standard,702.52,Action,2024-08-09,204,352,15.49,185.88,3,4,2,342,9,Promising
148,Emma Davis,51,India,Basic,975.55,Sci-Fi,2025-02-13,16,488,9.99,119.88,5,5,1,551,11,Loyal Customers
149,Alex Martinez,32,India,Basic,670.83,Action,2024-04-01,334,336,9.99,119.88,1,4,1,141,6,Lost
150,Emma Williams,56,Brazil,Premium,342.26,Drama,2024-08-08,205,172,22.99,275.88,3,2,4,324,9,Needs Attention
151,Katie Martinez,34,UK,Basic,846.85,Documentary,2024-10-18,134,424,9.99,119.88,4,5,1,451,10,Loyal Customers
152,David Martinez,55,Australia,Premium,558.87,Romance,2024-10-14,138,280,22.99,275.88,4,3,4,434,11,Loyal Customers
153,Jane Miller,52,Brazil,Basic,989.34,Action,2024-05-11,294,495,9.99,119.88,1,5,1,151,7,Lost
154,Chris Smith,15,Japan,Basic,835.1,Romance,2024-08-12,201,418,9.99,119.88,3,5,1,351,9,Promising
155,John Smith,70,USA,Basic,242.26,Horror,2024-07-10,234,122,9.99,119.88,2,2,1,221,5,Hibernating
156,Alex Smith,76,Canada,Basic,759.5,Sci-Fi,2024-10-31,121,380,9.99,119.88,4,4,1,441,9,Loyal Customers
157,David Johnson,51,Brazil,Premium,507.15,Documentary,2024-06-21,253,254,22.99,275.88,2,3,4,234,9,At Risk
158,Alex Williams,42,Japan,Premium,269.42,Documentary,2024-06-20,254,135,22.99,275.88,2,2,4,224,8,Hibernating
159,John Hernandez,58,UK,Premium,153.32,Comedy,2024-09-16,166,77,22.99,275.88,3,1,4,314,8,Lost
160,Emma Smith,50,USA,Basic,457.19,Drama,2024-05-15,290,229,9.99,119.88,1,3,1,131,5,Lost
161,David Jones,79,Brazil,Standard,799.77,Comedy,2024-07-10,234,400,15.49,185.88,2,5,2,252,9,Lost
162,James Jones,57,Australia,Basic,934.12,Documentary,2025-03-07,-6,468,9.99,119.88,5,5,1,551,11,Loyal Customers
163,John Jones,61,Germany,Basic,961.56,Sci-Fi,2024-04-15,320,481,9.99,119.88,1,5,1,151,7,Lost
164,John Davis,49,Australia,Basic,478.8,Drama,2024-06-03,271,240,9.99,119.88,2,3,1,231,6,Lost
165,Sarah Jones,24,Brazil,Standard,56.21,Documentary,2024-08-23,190,29,15.49,185.88,3,1,2,312,6,Lost
166,John Brown,76,Japan,Basic,885.8,Comedy,2024-09-14,168,443,9.99,119.88,3,5,1,351,9,Promising
167,John Smith,54,UK,Basic,14.28,Horror,2025-02-23,6,8,9.99,119.88,5,1,1,511,7,New Customers
168,Katie Williams,45,Canada,Premium,580.9,Sci-Fi,2024-10-04,148,291,22.99,275.88,3,3,4,334,10,Potential Loyalists
169,Sarah Brown,43,USA,Basic,566.29,Documentary,2024-07-23,221,284,9.99,119.88,2,3,1,231,6,Lost
170,Jane Jones,43,Canada,Standard,358.64,Horror,2024-12-25,66,180,15.49,185.88,4,2,2,422,8,New Customers
171,Chris Davis,50,Australia,Premium,826.06,Action,2024-03-21,345,414,22.99,275.88,1,5,4,154,10,At Risk
172,Michael Williams,46,USA,Standard,893.69,Horror,2024-08-20,193,447,15.49,185.88,3,5,2,352,10,Promising
173,Alex Williams,43,Germany,Basic,737.2,Action,2024-07-17,227,369,9.99,119.88,2,4,1,241,7,Lost
174,Katie Brown,18,Canada,Premium,72.54,Drama,2024-09-15,167,37,22.99,275.88,3,1,4,314,8,Lost
175,John Davis,53,Mexico,Basic,741.62,Action,2024-12-03,88,371,9.99,119.88,4,4,1,441,9,Loyal Customers
176,Sarah Smith,26,UK,Basic,945.3,Sci-Fi,2025-02-11,18,473,9.99,119.88,5,5,1,551,11,Loyal Customers
177,Jane Garcia,78,Canada,Standard,46.3,Action,2024-10-20,132,24,15.49,185.88,4,1,2,412,7,New Customers
178,Emma Smith,79,India,Premium,466.93,Horror,2025-03-07,-6,234,22.99,275.88,5,3,4,534,12,Loyal Customers
179,Jane Smith,40,France,Basic,866.49,Horror,2024-09-28,154,434,9.99,119.88,3,5,1,351,9,Promising
180,Katie Jones,26,India,Standard,192.61,Horror,2024-10-08,144,97,15.49,185.88,3,1,2,312,6,Lost
181,Alex Garcia,47,Canada,Premium,414.81,Comedy,2024-10-19,133,208,22.99,275.88,4,3,4,434,11,Loyal Customers
182,Katie Williams,63,Japan,Standard,332.14,Drama,2024-11-30,91,167,15.49,185.88,4,2,2,422,8,New Customers
183,John Williams,25,India,Premium,531.46,Romance,2024-07-30,214,266,22.99,275.88,2,3,4,234,9,At Risk
184,John Davis,20,Australia,Premium,260.06,Action,2025-03-05,-4,131,22.99,275.88,5,2,4,524,11,New Customers
185,Alex Jones,78,Australia,Basic,301.54,Drama,2024-10-27,125,151,9.99,119.88,4,2,1,421,7,New Customers
186,Emma Smith,63,India,Basic,870.79,Sci-Fi,2025-03-05,-4,436,9.99,119.88,5,5,1,551,11,Loyal Customers
187,John Davis,60,France,Standard,553.57,Documentary,2024-08-13,200,277,15.49,185.88,3,3,2,332,8,Promising
188,David Miller,14,Mexico,Basic,792.96,Drama,2025-03-02,-1,397,9.99,119.88,5,4,1,541,10,Loyal Customers
189,Jane Martinez,78,Japan,Standard,982.44,Documentary,2024-06-02,272,492,15.49,185.88,2,5,2,252,9,Lost
190,Sarah Williams,30,Germany,Basic,174.99,Documentary,2025-01-18,42,88,9.99,119.88,5,1,1,511,7,New Customers
191,Alex Martinez,67,Australia,Standard,727.39,Sci-Fi,2024-10-31,121,364,15.49,185.88,4,4,2,442,10,Loyal Customers
192,Jane Martinez,40,Brazil,Premium,3.69,Sci-Fi,2025-01-07,53,2,22.99,275.88,5,1,4,514,10,New Customers
193,Katie Johnson,38,India,Premium,455.69,Sci-Fi,2024-12-25,66,228,22.99,275.88,4,3,4,434,11,Loyal Customers
194,Chris Williams,57,Australia,Standard,956.44,Comedy,2025-01-09,51,479,15.49,185.88,5,5,2,552,12,Loyal Customers
195,Alex Brown,34,Germany,Standard,109.93,Horror,2024-07-11,233,55,15.49,185.88,2,1,2,212,5,Hibernating
196,Alex Garcia,33,Australia,Basic,748.3,Horror,2024-03-12,354,375,9.99,119.88,1,4,1,141,6,Lost
197,Jane Jones,39,Australia,Basic,914.92,Action,2024-09-19,163,458,9.99,119.88,3,5,1,351,9,Promising
198,Michael Garcia,18,UK,Premium,747.86,Documentary,2025-02-08,21,374,22.99,275.88,5,4,4,544,13,Champions
199,Katie Brown,72,Mexico,Basic,235.91,Romance,2024-05-02,303,118,9.99,119.88,1,2,1,121,4,Lost
200,Jane Brown,49,Germany,Premium,749.77,Romance,2024-08-20,193,375,22.99,275.88,3,4,4,344,11,Potential Loyalists
201,James Smith,66,Germany,Basic,628.14,Comedy,2024-04-28,307,315,9.99,119.88,1,4,1,141,6,Lost
202,John Hernandez,80,USA,Standard,776.4,Action,2024-08-05,208,389,15.49,185.88,3,4,2,342,9,Promising
203,James Miller,75,UK,Basic,838.37,Documentary,2024-08-15,198,420,9.99,119.88,3,5,1,351,9,Promising
204,Michael Williams,48,Brazil,Basic,222.55,Drama,2024-06-09,265,112,9.99,119.88,2,2,1,221,5,Hibernating
205,David Garcia,16,Canada,Basic,701.24,Action,2024-08-03,210,351,9.99,119.88,3,4,1,341,8,Promising
206,John Brown,40,Australia,Standard,444.18,Drama,2025-02-18,11,223,15.49,185.88,5,3,2,532,10,Loyal Customers
207,Sarah Miller,53,India,Premium,883.16,Action,2024-10-24,128,442,22.99,275.88,4,5,4,454,13,Champions
208,Alex Brown,23,Mexico,Standard,287.09,Drama,2024-12-04,87,144,15.49,185.88,4,2,2,422,8,New Customers
209,Katie Smith,52,Japan,Premium,745.62,Drama,2024-11-16,105,373,22.99,275.88,4,4,4,444,12,Champions
210,Katie Smith,51,USA,Basic,366.11,Drama,2024-06-14,260,184,9.99,119.88,2,2,1,221,5,Hibernating
211,Chris Smith,41,Germany,Basic,800.18,Horror,2024-07-23,221,401,9.99,119.88,2,5,1,251,8,Lost
212,Alex Smith,68,Mexico,Premium,218.0,Horror,2024-10-20,132,109,22.99,275.88,4,2,4,424,10,New Customers
213,Michael Johnson,62,India,Basic,811.94,Comedy,2024-06-16,258,406,9.99,119.88,2,5,1,251,8,Lost
214,Sarah Brown,59,UK,Standard,154.17,Sci-Fi,2025-01-20,40,78,15.49,185.88,5,1,2,512,8,New Customers
215,James Brown,40,Mexico,Standard,538.64,Sci-Fi,2025-01-29,31,270,15.49,185.88,5,3,2,532,10,Loyal Customers
216,Alex Hernandez,21,Japan,Premium,952.42,Drama,2024-09-01,181,477,22.99,275.88,3,5,4,354,12,Potential Loyalists
217,John Davis,38,Canada,Premium,60.01,Documentary,2024-11-10,111,31,22.99,275.88,4,1,4,414,9,New Customers
218,Alex Garcia,55,Brazil,Basic,31.08,Romance,2025-03-02,-1,16,9.99,119.88,5,1,1,511,7,New Customers
219,Emma Hernandez,68,UK,Standard,769.68,Drama,2024-12-07,84,385,15.49,185.88,4,4,2,442,10,Loyal Customers
220,Sarah Miller,13,Canada,Premium,205.73,Drama,2024-08-09,204,103,22.99,275.88,3,1,4,314,8,Lost
221,Alex Jones,23,Canada,Premium,449.56,Romance,2024-10-27,125,225,22.99,275.88,4,3,4,434,11,Loyal Customers
222,Katie Davis,26,France,Standard,324.19,Horror,2024-04-07,328,163,15.49,185.88,1,2,2,122,5,Lost
